solution_id,challenge_id,title,description,submitted_by,institution_id,technology,estimated_cost,estimated_duration,feasibility_score,social_impact_score,cost_effectiveness_score,scalability_score,sustainability_score,innovation_score,overall_score,status,data_status
SOL001,CH001,Community-Scale Activated Alumina & Hydroxyapatite Fluoride Remediation Unit,"Gravity-fed dual-bed filtration system using regenerated activated alumina and indigenous bone-char/hydroxyapatite pellets, requiring no electricity and delivering water under 1.0 mg/L fluoride.",USER002,INST001,Chemical Adsorption & Regenerative Fixed Bed,185000,4 months,0.92,0.95,0.88,0.9,0.87,0.85,0.895,Shortlisted,synthetic_demo
SOL002,CH002,Constructed Wetland with Limestone Neutralization for Acid Mine Drainage,Multi-stage passive remediation system comprising anoxic limestone drains followed by typha-planted subsurface constructed wetlands to precipitate iron hydroxides and neutralize acidity.,USER003,INST001,Passive Bioremediation & Anoxic Limestone Drain (ALD),420000,8 months,0.88,0.94,0.85,0.82,0.95,0.88,0.887,Piloted,synthetic_demo
SOL003,CH003,Edge-AI Visual Diagnostics and Microbial Bio-Fungicide Formulation,Lightweight Android application running quantized MobileNetV3 for leaf lesion detection combined with locally isolated Trichoderma viride bio-control sprays.,USER004,INST005,Computer Vision & Microbial Bio-Pesticide,95000,3 months,0.94,0.91,0.96,0.92,0.93,0.9,0.927,Validated,synthetic_demo
SOL004,CH004,Granulated Basic Slag and Lime Bio-Formulation for Acid Soil Restoration,"Pelletized soil conditioner blending steel plant basic slag, calcitic lime, and mycorrhizal consortia to elevate soil pH from 4.2 to 6.2 and unlock residual phosphorus.",USER005,INST005,Industrial Byproduct Agronomic Amelioration,130000,6 months,0.91,0.89,0.93,0.89,0.92,0.84,0.897,Prototype,synthetic_demo
SOL005,CH006,Geospatial Catchment Sump Design and Automated Silt Screening Gates,GIS-delineated peripheral retention sumps paired with mechanical trash-rack screens to prevent flash stormwater inundation in densely populated urban wards.,USER006,INST003,Hydraulic Retention & Automated Mechanical Screening,650000,9 months,0.84,0.9,0.8,0.85,0.88,0.82,0.848,Proposed,synthetic_demo
SOL006,CH007,Solar Point-of-Care Digital Hemoglobinometer and Micro-Nutrient Kit,Non-invasive optical sensor ring linked to ASHA smartphone telemetry for immediate anemia grading and automated iron-folic replenishment tracking.,USER007,INST006,Non-invasive Optical Spectroscopy & Telemedicine,110000,5 months,0.9,0.98,0.91,0.94,0.9,0.93,0.927,Piloted,synthetic_demo
SOL007,CH008,Sandfly Attractant Traps and Sub-Center Tele-Microscopy Pipeline,Pheromone-light hybrid sandfly surveillance traps deployed alongside high-resolution low-cost smartphone microscope attachments for rapid peripheral smear confirmation.,USER008,INST007,Pheromone Vector Trapping & Digital Tele-Microscopy,140000,6 months,0.89,0.93,0.88,0.86,0.89,0.87,0.887,Prototype,synthetic_demo
SOL008,CH009,Geogrid-Reinforced Blast Furnace Slag Sub-Base for Rural Roads,Utilizing locally sourced ground granulated blast furnace slag (GGBFS) bound with non-woven polypropylene geotextiles to construct all-weather rural roads on weak subgrades.,USER009,INST003,Geosynthetics & Industrial Mineral Slag Stabilization,850000,8 months,0.92,0.91,0.94,0.93,0.96,0.86,0.92,Implemented,synthetic_demo
SOL009,CH010,Phase-Change Material (PCM) Micro-Cold Storage with Solar PV,Modular 5-MT cold room incorporating bio-based phase change thermal storage material that sustains 4-8 deg C for up to 36 hours without active solar irradiation or grid power.,USER010,INST005,Thermal Energy Storage (PCM) & Decentralized Solar PV,480000,6 months,0.87,0.92,0.86,0.88,0.94,0.91,0.897,Prototype,synthetic_demo
SOL010,CH011,IoT-Triggered Ultrasonic Mist Canons for Haul Road Dust Suppression,"Automated misting posts along mineral haulage routes actuated dynamically when optical particulate sensors record PM10 > 150 ug/m3, minimizing water consumption by 70%.",USER011,INST001,Ultrasonic Atomization & Optical Telemetry Network,340000,5 months,0.89,0.94,0.87,0.89,0.91,0.92,0.903,Piloted,synthetic_demo
SOL011,CH012,Decentralized Lac Scraping Machine and Mobile Quality-Grading App,"Low-power pedal/motor hybrid sticklac scraper coupled with smartphone image analysis to estimate moisture and impurity content, eliminating intermediary pricing cheats.",USER012,INST008,Mechanical Processing & Computer Vision Grading,75000,4 months,0.95,0.96,0.97,0.93,0.95,0.89,0.942,Piloted,synthetic_demo
SOL012,CH016,Smart IoT Battery Charge Equalizer and Cell-Level Thermal Telemetry,Retrofit active balance board for lead-acid and lithium packs with LoRa uplink to trigger maintenance alerts before irreversible cell degradation occurs.,USER016,INST009,Active Battery Balancing & LoRaWAN Telemetry,65000,3 months,0.93,0.88,0.95,0.91,0.92,0.9,0.915,Validated,synthetic_demo
