challenge_id,title,description,district,city_or_village,latitude,longitude,domain,subdomain,problem_type,severity,urgency,affected_population,geographic_spread,evidence_quality,community_support,priority_score,required_expertise,status,submitted_by,created_at,data_status
CH001,Groundwater Contamination and High Fluoride Levels in Borewells,"Villagers in Daltonganj block report severe yellowing of teeth and crippling joint pains among youth. Testing shows fluoride levels exceeding 3.5 mg/L, making local borewells hazardous for drinking.",Palamu,Daltonganj Block,24.0378,84.0722,Water,Water Quality,Public Health Hazard,CRITICAL,HIGH,14500,Cluster of 6 Panchayats,HIGH,HIGH,92.5,EXP001;EXP002;EXP003,Validated,USER001,2026-08-10 09:30:00,synthetic_demo
CH002,Acid Mine Drainage Contamination of Subarnarekha Tributaries,"Runoff from abandon coal and mineral quarries is turning local stream water acidic (pH < 4.0) with heavy orange precipitate, destroying surrounding farmland and killing livestock.",Dhanbad,Govindpur Sub-basin,23.834,86.521,Environment,Industrial Waste,Environmental Degradation,CRITICAL,HIGH,22000,Riparian Belt (12 km),HIGH,HIGH,94.0,EXP002;EXP004;EXP018;EXP039,Validated,USER002,2026-08-11 11:15:00,synthetic_demo
CH003,Widespread Sheath Blight and Leaf Blast Infestation in Kharif Paddy,"Over 800 hectares of upland paddy in Mandar block show severe necrotic lesions and rotting stems, leading to anticipated yield losses of 45% among smallholder tribal farmers.",Ranchi,Mandar Block,23.461,85.087,Agriculture,Crop Disease,Agronomic Threat,HIGH,HIGH,8200,8 contiguous villages,MEDIUM,HIGH,88.0,EXP006;EXP028;EXP038,Validated,USER003,2026-08-12 14:00:00,synthetic_demo
CH004,Severe Acidic Soil Degradation and Micronutrient Depletion,"Plateau laterite soils have dropped to pH 4.2 with acute boron and zinc deficiency, causing stunted chickpea and mustard crops despite regular NPK application.",Gumla,Bishunpur Plateau,23.385,84.362,Agriculture,Soil Health,Resource Degradation,MEDIUM,MEDIUM,11000,Sub-division wide,HIGH,MEDIUM,75.5,EXP008;EXP011,Validated,USER004,2026-08-13 10:20:00,synthetic_demo
CH005,Arsenic Contamination in Shallow Aquifers along Ganga Basin,"Handpumps across three diara panchayats produce water with arsenic levels over 0.08 mg/L, causing skin melanosis and hyperkeratosis among riverside residents.",Sahibganj,Rajmahal Diara,25.051,87.838,Water,Water Quality,Public Health Hazard,CRITICAL,HIGH,18000,Floodplain settlements,HIGH,HIGH,93.5,EXP001;EXP002;EXP003,Validated,USER005,2026-08-14 08:45:00,synthetic_demo
CH006,Recurring Urban Waterlogging and Storm Drain Congestion,Monsoon rains submerge low-lying residential sectors and arterial roads under 3 feet of water for days due to silted natural nullahs and uncoordinated storm culverts.,East Singhbhum,Mango Urban Ward,22.822,86.208,Urban Infrastructure,Drainage,Municipal Failure,MEDIUM,HIGH,35000,Urban catchment (8 sq km),MEDIUM,HIGH,82.0,EXP026;EXP022,Validated,USER006,2026-08-15 16:30:00,synthetic_demo
CH007,High Neonatal and Maternal Anemia in Remote Forest Hamlets,Over 68% of expectant mothers in forest villages suffer from severe hemoglobin deficiency (< 8 g/dL) with zero access to timely point-of-care screening or antenatal monitoring.,West Singhbhum,Saranda Forest Belt,22.254,85.281,Healthcare,Maternal Health,Healthcare Access,CRITICAL,HIGH,9500,Scattered forest tolas,HIGH,HIGH,95.0,EXP012;EXP014;EXP016,Validated,USER007,2026-08-16 12:00:00,synthetic_demo
CH008,Endemic Kala-azar (Visceral Leishmaniasis) Transmission Hotspot,"Mud houses with damp cracked walls harbor sandfly vectors, causing recurrent spikes in visceral leishmaniasis and delayed clinical intervention.",Dumka,Shikaripara Block,24.238,87.489,Healthcare,Epidemiology,Vector-Borne Disease,HIGH,HIGH,6700,5 tribal panchayats,HIGH,HIGH,89.0,EXP012;EXP013;EXP015,Validated,USER008,2026-08-17 10:10:00,synthetic_demo
CH009,Collapse of Rural Earth Roads in Heavy Monsoon Months,"Kachha transport corridors linking farm markets wash out every July, stranding school buses and milk tankers due to un-stabilized black-cotton and mica-mixed roadbeds.",Koderma,Satgawan Road Links,24.582,85.748,Urban Infrastructure,Rural Roads,Transportation Bottleneck,MEDIUM,MEDIUM,16000,22 km rural road stretch,MEDIUM,HIGH,77.0,EXP027;EXP018;EXP036,Validated,USER009,2026-08-18 15:40:00,synthetic_demo
CH010,Post-Harvest Tomato and Cauliflower Spoilage in Tribal Belts,Farmers suffer distress selling at Rs 2/kg during harvest gluts due to absence of village-level pre-cooling or low-power cold chain facilities.,Ranchi,Bero Vegetable Belt,23.279,85.011,Agriculture,Post-Harvest,Economic Loss,HIGH,MEDIUM,12500,Agricultural cluster,HIGH,HIGH,84.5,EXP010;EXP023;EXP043,Validated,USER010,2026-08-19 09:00:00,synthetic_demo
