expertise_id,name,category,subcategory,description,keywords,related_expertise
EXP001,Groundwater Hydrology,Water,Hydrogeology,"Assessment, aquifer mapping, modeling, and sustainable management of subsurface water resources.",groundwater;aquifer;water table;hydrogeology;borewell recharge,EXP002;EXP003;EXP005
EXP002,Water Quality Testing and Monitoring,Water,Environmental Monitoring,"Physicochemical and biological analysis of potable and wastewater parameters including heavy metals, fluorides, and arsenic.",water quality;fluoride contamination;arsenic;potability;turbidity;BOD;COD,EXP001;EXP003;EXP004
EXP003,Water Treatment and Purification Technologies,Water,Treatment Systems,"Design and deployment of filtration, adsorption, membrane separation, and disinfection units for potable water.",filtration;adsorption;reverse osmosis;disinfection;low-cost filters;chlorination,EXP002;EXP004;EXP036
EXP004,Wastewater Treatment and Recycling,Water,Effluent Management,Biological and chemical remediation of municipal sewage and industrial effluent for reuse.,sewage treatment;effluent treatment;bioremediation;constructed wetlands;recycling,EXP002;EXP003;EXP017
EXP005,Rainwater Harvesting and Watershed Management,Water,Resource Conservation,"Engineering surface catchment structures, check dams, and watershed soil conservation systems.",rainwater harvesting;check dam;percolation tank;catchment;watershed,EXP001;EXP008;EXP021
EXP006,Crop Pathology and Disease Diagnosis,Agriculture,Plant Protection,"Identification, epidemiology, and biological/chemical management of fungal, bacterial, and viral crop diseases.",crop disease;plant pathology;fungicide;blight;pest infestation;diagnostic,EXP007;EXP028;EXP038
EXP007,Precision Agriculture and Smart Farming,Agriculture,AgriTech,"Integration of sensor networks, drones, and AI for real-time crop health, yield prediction, and resource optimization.",precision farming;smart agriculture;soil sensors;drone imagery;yield optimization,EXP006;EXP028;EXP031;EXP033
EXP008,Soil Health Assessment and Nutrient Management,Agriculture,Soil Science,"Testing soil fertility, organic carbon, micro-nutrient profiling, and formulation of targeted soil remediation.",soil testing;NPK;micronutrients;soil salinity;organic carbon;soil acidity,EXP005;EXP007;EXP011
EXP009,Drip and Micro-Irrigation Engineering,Agriculture,Irrigation Systems,"Design and optimization of water-efficient micro-irrigation, fertigation, and gravity-fed drip systems for plateau terrains.",micro-irrigation;drip irrigation;fertigation;water saving;sprinklers,EXP005;EXP007
EXP010,Post-Harvest Technology and Cold Chain Logistics,Agriculture,Agro-Processing,"Storage preservation, solar dehydration, grain silos, and low-cost refrigeration for perishable produce.",cold storage;shelf-life;solar drying;grain storage;spoilage reduction,EXP007;EXP023;EXP043
EXP011,Agro-Forestry and Plateau Crop Systems,Agriculture,Agronomy,"Cultivation systems optimized for rainfed, plateau, acidic, and degraded soils characteristic of tribal and dryland zones.",plateau crops;millets;pulses;lac cultivation;agroforestry;rainfed farming,EXP008;EXP025;EXP042
