department_id,institution_id,department_name,department_type,description,major_domains,official_url,source_url,source_type,last_verified,verification_status,data_status
DEPT001,INST001,Department of Environmental Science and Engineering,Academic & Research,"Established as Centre of Mining Environment; focuses on water treatment, air pollution, industrial waste remediation, and environmental monitoring.",Environmental Engineering;Water Quality;Mine Waste Management;Air Quality,https://www.iitism.ac.in/department/environmental-science-and-engineering,https://www.iitism.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT002,INST001,Department of Applied Geology,Academic & Research,"Specializes in hydrogeology, groundwater exploration, remote sensing, and mineral resources.",Hydrogeology;Groundwater Hydrology;Remote Sensing;Mineralogy,https://www.iitism.ac.in/department/applied-geology,https://www.iitism.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT003,INST001,Department of Computer Science and Engineering,Academic & Research,"Core computer science department focusing on AI, machine learning, IoT, image processing, and distributed systems.",AI/ML;Computer Vision;IoT;Cloud Platforms,https://www.iitism.ac.in/department/computer-science-and-engineering,https://www.iitism.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT004,INST001,Department of Civil Engineering,Academic & Research,"Covers water resources engineering, structural dynamics, stormwater drainage, and pavement engineering.",Water Resources;Stormwater Drainage;Pavement Engineering;Geotechnical,https://www.iitism.ac.in/department/civil-engineering,https://www.iitism.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT005,INST002,Department of Remote Sensing,Academic & Research,"Pioneering geospatial department offering M.Tech & Ph.D. in remote sensing, GIS applications in watershed, forestry, and disaster management.",Remote Sensing;GIS;Satellite Image Analysis;Disaster Mapping,https://www.bitmesra.ac.in/Show_Department_Section?cid=1&deptid=121,https://www.bitmesra.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT006,INST002,Department of Civil and Environmental Engineering,Academic & Research,"Focuses on environmental hydraulics, wastewater remediation, solid waste management, and structural design.",Environmental Hydraulics;Wastewater Treatment;Solid Waste Management,https://www.bitmesra.ac.in/Show_Department_Section?cid=1&deptid=70,https://www.bitmesra.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT007,INST002,Department of Computer Science and Engineering,Academic & Research,"Engaged in intelligent systems, machine learning, computer vision, and ubiquitous computing.",Artificial Intelligence;Computer Vision;NLP;Software Engineering,https://www.bitmesra.ac.in/Show_Department_Section?cid=1&deptid=75,https://www.bitmesra.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT008,INST003,Department of Civil Engineering,Academic & Research,"Strong expertise in water resource engineering, hydrology, geotechnical soil mechanics, and transportation pavements.",Water Resources;Hydrology;Pavement Design;Geotechnical Engineering,https://www.nitjsr.ac.in/academic/departments/civil,https://www.nitjsr.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT009,INST003,Department of Mechanical Engineering,Academic & Research,"Covers thermal engineering, robotics, rapid prototyping, and renewable energy conversion systems.",Robotics;Renewable Energy;Rapid Prototyping;Thermal Engineering,https://www.nitjsr.ac.in/academic/departments/mechanical,https://www.nitjsr.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT010,INST004,Department of Chemical Engineering,Academic & Research,"Focuses on effluent treatment, industrial waste utilization, separation processes, and bio-energy.",Chemical Processing;Effluent Treatment;Waste Utilization,https://www.bitsindri.ac.in/index.php/departments/chemical-engg,https://www.bitsindri.ac.in,official_portal,2026-09-07,verified,verified_real
