evidence_id,challenge_id,project_id,evidence_type,description,file_reference,source,submitted_by,verification_status,verified_by,verified_at
EVID001,CH001,PROJ001,Lab Report,Certified water testing report by NABL accredited IIT ISM laboratory demonstrating effluent fluoride levels at 0.75 mg/L.,reports/lab/EVID001_fluoride_iitism_nabl.pdf,IIT (ISM) Dhanbad Environmental Testing Lab,USER002,verified,Prof. Alok Sinha,2026-08-15 14:00:00
EVID002,CH001,PROJ001,Survey,Panchayat health register validating daily distribution logs across 460 tribal families in Daltonganj cluster.,surveys/EVID002_panchayat_water_distribution.pdf,Daltonganj Gram Panchayat Register,USER001,verified,District Water & Sanitation Officer,2026-08-20 10:30:00
EVID003,CH002,PROJ002,Lab Report,Continuous telemetry datalogger output showing neutral pH 6.8 and 92% dissolved iron precipitation across constructed wetlands.,reports/lab/EVID003_amd_wetland_ph_telemetry.pdf,Centre of Mining Environment Sensors,USER003,verified,Prof. Gurdeep Singh,2026-08-18 16:45:00
EVID004,CH003,PROJ003,Research Paper,Field trial evaluation report validating 88% diagnostic precision of lightweight MobileNetV3 edge model on Sheath Blight.,docs/EVID004_bau_edge_ai_rice_evaluation.pdf,BAU Regional Plant Pathology Diagnostic Clinic,USER004,verified,Dr. Savita Ekka,2026-08-25 11:20:00
EVID005,CH007,PROJ004,Impact Report,Clinical field register verifying optical spectroscopy hemoglobin screening across 420 pregnant women in Saranda forest tracts.,reports/clinical/EVID005_saranda_maternal_anemia.pdf,RIMS Community Medicine Field Station,USER007,verified,Dr. Vivek Kashyap,2026-08-28 09:15:00
EVID006,CH009,PROJ005,Government Data,Jharkhand State Rural Road Development Authority (JSRRDA) commissioning certificate for 4.2 km slag-stabilized all-weather road.,gov/EVID006_jsrrda_koderma_completion.pdf,Executive Engineer PWD Koderma,USER009,verified,Superintending Engineer PWD,2026-08-05 15:30:00
EVID007,CH009,PROJ005,Document,Audited engineering cost comparison sheet showing 32% reduction in sub-base expenditure through local GGBFS substitution.,finance/EVID007_pwd_boq_cost_audit.pdf,NIT Jamshedpur Pavement Testing Facility,USER009,verified,Prof. A. K. Choudhary,2026-08-08 17:00:00
EVID008,CH011,PROJ006,Government Data,Jharkhand State Pollution Control Board continuous air monitor printout confirming PM10 suppression from 380 to 115 ug/m3.,reports/env/EVID008_jspcb_air_quality_log.pdf,JSPCB Regional Office Hazaribagh,USER011,verified,Regional Environmental Officer,2026-08-22 13:10:00
EVID009,CH012,PROJ007,Document,Torpa Tribal Cooperative Federation transaction ledgers documenting direct purchase payments at Rs 620/kg vs prevailing middlemen Rs 240/kg.,finance/EVID009_torpa_cooperative_lac_receipts.pdf,Torpa Farmers Cooperative Society,USER012,verified,Prof. Pradip Kumar Bala,2026-08-19 12:00:00
EVID010,CH012,PROJ007,Survey,Time-and-motion agronomic report confirming 83% reduction in manual scrap processing time using pedal-motorized rasping drums.,surveys/EVID010_time_motion_lac_processing.pdf,IIM Ranchi Centre for Public Policy,USER012,verified,Prof. Gaurav Manohar Marathe,2026-08-21 15:45:00
