facility_id,institution_id,department_id_if_applicable,name,facility_type,domain,description,capabilities,official_url,source_url,last_verified,verification_status,data_status
FACILITY001,INST001,DEPT001,Environmental Engineering Analytical Laboratory,Testing Facility,Water & Environment,"NABL accredited facility equipped with AAS, ICP-MS, HPLC, and UV-Vis spectrophotometers for trace heavy metal and organic water pollutant detection.","Heavy metal detection (Arsenic, Fluoride, Lead); BOD/COD estimation; toxic organic analysis; water potability testing",https://www.iitism.ac.in/department/environmental-science-and-engineering,https://www.iitism.ac.in,2026-09-07,verified,verified_real
FACILITY002,INST001,DEPT002,Hydrogeology and Groundwater Simulation Lab,Simulation Centre,Water Resources,"High-end computational and experimental lab equipped with MODFLOW suites, borehole loggers, and geophysical resistivity meters.",Aquifer recharge modeling; borehole resistivity profiling; 3D hydrogeological mapping; solute transport simulation,https://www.iitism.ac.in/department/applied-geology,https://www.iitism.ac.in,2026-09-07,verified,verified_real
FACILITY003,INST001,DEPT003,Centre of Excellence in IoT and Edge Computing,Innovation Centre,IoT & AI,"Equipped with LoRaWAN gateways, embedded development boards (Raspberry Pi, Jetson Nano, ESP32), and edge testing racks.",Wireless sensor prototyping; LoRa long-range telemetry; embedded edge AI inference; hardware benchmarking,https://www.iitism.ac.in,https://www.iitism.ac.in,2026-09-07,verified,verified_real
FACILITY004,INST002,DEPT005,State Remote Sensing & Digital Image Processing Centre,Research Centre,Geospatial Sciences,"Specialized lab housing ERDAS Imagine, ArcGIS Enterprise, ENVI, and photogrammetric workstations with high-resolution satellite repositories.",Satellite image multispectral analysis; watershed boundary demarcation; drought indices; urban runoff mapping,https://www.bitmesra.ac.in/Show_Department_Section?cid=1&deptid=121,https://www.bitmesra.ac.in,2026-09-07,verified,verified_real
FACILITY005,INST002,DEPT006,Environmental Hydraulics and Waste Characterization Lab,Laboratory,Environment & Municipal Waste,"Equipped for municipal solid waste proximate/ultimate analysis, calorific value determination (bomb calorimeter), and pilot aerobic/anaerobic reactors.",Waste characterization; biomethane potential testing; pilot composting; municipal effluent treatment,https://www.bitmesra.ac.in/Show_Department_Section?cid=1&deptid=70,https://www.bitmesra.ac.in,2026-09-07,verified,verified_real
FACILITY006,INST003,DEPT008,Advanced Highway and Pavement Engineering Testing Facility,Testing Facility,Transportation Infrastructure,"Equipped with repeated load triaxial test apparatus, CBR testing machines, and asphalt concrete fatigue analyzers.",Pavement material testing; industrial slag aggregate evaluation; soil stabilization mix design; CBR strength testing,https://www.nitjsr.ac.in/academic/departments/civil,https://www.nitjsr.ac.in,2026-09-07,verified,verified_real
FACILITY007,INST003,DEPT009,Solar Thermal and Renewable Energy Systems Lab,Research Centre,Renewable Energy,"Solar simulator, pyrheliometer arrays, flat-plate and parabolic trough testing setups for thermal storage benchmarking.",Solar efficiency evaluation; thermal storage testing; heat pipe characterization; prototype solar dryers,https://www.nitjsr.ac.in/academic/departments/mechanical,https://www.nitjsr.ac.in,2026-09-07,verified,verified_real
FACILITY008,INST005,DEPT011,Plant Disease Diagnosis & Bio-Control Research Laboratory,Laboratory,Agriculture,"Equipped with laminar air flow chambers, PCR thermocyclers, gel documentation systems, and regional fungus/bacterial culture banks.",Crop pathogen isolation; fungal blast identification; bio-fungicide development; seed pathology testing,https://www.bauranchi.org,https://www.bauranchi.org,2026-09-07,verified,verified_real
FACILITY009,INST005,DEPT012,Soil Health Diagnostic and Micronutrient Profiling Lab,Testing Facility,Agriculture & Soil,"Houses Flame Photometers, Kjeldahl nitrogen analyzers, spectrophotometers, and soil mechanical analysis sieves.","NPK macro-nutrient profiling; micronutrient (Zinc, Boron, Iron) quantification; soil pH and lime requirement determination",https://www.bauranchi.org,https://www.bauranchi.org,2026-09-07,verified,verified_real
FACILITY010,INST006,DEPT014,Epidemiology Surveillance and Public Health Field Unit,Research Centre,Public Health,"Central field epidemiological lab coordinating sentinel surveillance, rural field health stations, and diagnostic blood testing.",Epidemic outbreak investigation; vector-borne screening; primary care diagnostic reporting; community health auditing,https://www.rimsranchi.ac.in,https://www.rimsranchi.ac.in,2026-09-07,verified,verified_real
FACILITY011,INST009,DEPT018,Computer Vision and Multimodal AI Compute Cluster,Research Infrastructure,AI/ML,"Dedicated server cluster powered by NVIDIA RTX GPUs for deep vision training, vernacular speech synthesis, and real-time video analytics.",Object detection model training; vernacular speech recognition inference; edge AI optimization; dataset annotation,https://www.iiitranchi.ac.in,https://www.iiitranchi.ac.in,2026-09-07,verified,verified_real
FACILITY012,INST010,DEPT020,Phytoremediation and Ecological Restoration Experimental Plot,Research Infrastructure,Biotechnology & Environment,Open-air and greenhouse experimental soil containment bays designed for assessing heavy metal bioaccumulation in plateau plant species.,Hyperaccumulation bioassays; mine soil rehabilitation trials; organic pollutant microbial degradation tracking,https://www.cuj.ac.in,https://www.cuj.ac.in,2026-09-07,verified,verified_real
