faculty_expertise_id,faculty_id,expertise_id,confidence_score,evidence,source_url,verification_status
FEXP001,FAC001,EXP002,0.95,Extensive peer-reviewed publications on industrial contaminant characterization and water quality parameters.,https://www.iitism.ac.in/~alok,verified
FEXP002,FAC001,EXP003,0.95,Expert in advanced oxidation processes and membrane separation for drinking water purification.,https://www.iitism.ac.in/~alok,verified
FEXP003,FAC001,EXP004,0.9,Research lead on chemical remediation of effluent and industrial recycling systems.,https://www.iitism.ac.in/~alok,verified
FEXP004,FAC002,EXP018,0.98,Pioneered research on acid mine drainage neutralization and fly ash stabilization in coal mining belts.,https://www.iitism.ac.in/~gurdeep,verified
FEXP005,FAC002,EXP020,0.9,Government advisor on environmental impact assessment and mine dump ecological reclamation.,https://www.iitism.ac.in/~gurdeep,verified
FEXP006,FAC003,EXP001,0.98,"Decades of hydrogeological modeling, aquifer yield mapping, and groundwater exploration in hard-rock terrains.",https://www.iitism.ac.in/~bcsarkar,verified
FEXP007,FAC003,EXP022,0.85,Spatial GIS and geostatistical modeling of subsurface water reserves.,https://www.iitism.ac.in/~bcsarkar,verified
FEXP008,FAC004,EXP031,0.95,Published protocols for energy-efficient routing in wireless sensor networks and IoT gateways.,https://www.iitism.ac.in/~chiranjeev,verified
FEXP009,FAC004,EXP034,0.85,Distributed telemetry architectures and cloud edge data ingestion.,https://www.iitism.ac.in/~chiranjeev,verified
FEXP010,FAC005,EXP001,0.92,Numerical simulation of subsurface solute flow and aquifer recharge dynamics.,https://www.iitism.ac.in/~srinivas,verified
FEXP011,FAC005,EXP026,0.9,Runoff hydraulics and municipal stormwater drainage modeling.,https://www.iitism.ac.in/~srinivas,verified
FEXP012,FAC006,EXP021,0.98,Internationally cited authority on multi-spectral satellite imagery and forest canopy phonology.,https://www.bitmesra.ac.in/Faculty_Profile?facid=12101,verified
FEXP013,FAC006,EXP022,0.95,Author of geospatial models for land use classification and natural resource tracking.,https://www.bitmesra.ac.in/Faculty_Profile?facid=12101,verified
FEXP014,FAC007,EXP005,0.92,Remote-sensing-based delineation of watershed check-dams and micro-catchments.,https://www.bitmesra.ac.in/Faculty_Profile?facid=12102,verified
