government_id,department_name,domain,jurisdiction,districts,relevant_challenge_types,relevant_schemes,implementation_role,official_website,source_url,verification_status,data_status
GOV001,Drinking Water and Sanitation Department (DWSD),Water & Sanitation,State Government of Jharkhand,All 24 Districts,Groundwater Contamination; Fluoride; Arsenic; Rural Piped Water,Jal Jeevan Mission (JJM); Swachh Bharat Mission (Gramin),"Nodal agency for testing, approval, and capital infrastructure rollout of drinking water plants.",https://drinkingwater.jharkhand.gov.in,https://drinkingwater.jharkhand.gov.in,verified,verified_real
GOV002,"Department of Agriculture, Animal Husbandry & Co-operative",Agriculture,State Government of Jharkhand,All 24 Districts,Crop Disease; Pest Outbreaks; Soil Acidity; Cold Storage Deficit,Rashtriya Krishi Vikas Yojana (RKVY); Soil Health Card Scheme; PM-KISAN,"Disbursal of agricultural subsidies, extension services, bio-pesticide supply, and soil health monitoring.",https://agri.jharkhand.gov.in,https://agri.jharkhand.gov.in,verified,verified_real
GOV003,"Department of Health, Medical Education & Family Welfare",Healthcare,State Government of Jharkhand,All 24 Districts,Maternal Anemia; Kala-azar; Vaccine Cold-chain; Chronic Kidney Disease,National Health Mission (NHM); Ayushman Bharat - PM-JAY,"Supervision of primary health centres, ASHA field deployment, clinical diagnostics, and epidemic containment.",https://jharkhand.gov.in/health,https://jharkhand.gov.in,verified,verified_real
GOV004,Jharkhand State Pollution Control Board (JSPCB),Environment & Pollution,State Regulatory Authority,All 24 Districts,Acid Mine Drainage; Industrial Slurry; Particulate Air Dust; Open Landfills,National Clean Air Programme (NCAP); Water & Air Prevention Acts,"Regulatory enforcement of environmental consent, emission norms, stack and effluent audits.",https://jspcb.nic.in,https://jspcb.nic.in,verified,verified_real
GOV005,Jharkhand State Rural Road Development Authority (JSRRDA) / Rural Development Department,Rural Infrastructure,State Government of Jharkhand,All 24 Districts,Rural Dirt Road Collapse; Monsoonal Pavement Failure,Pradhan Mantri Gram Sadak Yojana (PMGSY); Mukhya Mantri Gram Setu Yojana,"Executing agency for rural road construction, slag utilization trials, and culvert bridge building.",https://jsrrda.gov.in,https://jsrrda.gov.in,verified,verified_real
GOV006,"Department of Forest, Environment and Climate Change",Forestry & Wildlife,State Government of Jharkhand,All 24 Districts,Human-Elephant Conflict; Deforestation; Mine Overburden Afforestation,CAMPA; Green India Mission; Project Elephant,"Canopy protection, forest reserve patrol, compensation disbursal for wildlife crop damages.",https://forest.jharkhand.gov.in,https://forest.jharkhand.gov.in,verified,verified_real
GOV007,"Department of Scheduled Tribe, Scheduled Caste, Minority and Backward Class Welfare",Tribal Livelihoods & Welfare,State Government of Jharkhand,Scheduled Areas (13 Districts),Lac Middlemen Exploitation; Silk Weaving Inefficiencies; Tribal Education Barriers,Pradhan Mantri Janjati Adivasi Nyaya Maha Abhiyan (PM-JANMAN); TRIFED MSP for MFP,"Funding tribal producer collectives, establishing Van Dhan Vikas Kendras, and operating residential ashram schools.",https://welfare.jharkhand.gov.in,https://welfare.jharkhand.gov.in,verified,verified_real
GOV008,Urban Development and Housing Department (UDHD),Urban Infrastructure,State Government of Jharkhand,"Municipal Areas (Ranchi, Jamshedpur, Dhanbad, Hazaribagh)",Urban Stormwater Logging; Municipal Solid Waste Dumping; Leachate,Atal Mission for Rejuvenation and Urban Transformation (AMRUT); Swachh Bharat Urban,"Capital allocation for municipal drainage master plans, mechanized waste treatment, and stormwater culverts.",https://udhd.jharkhand.gov.in,https://udhd.jharkhand.gov.in,verified,verified_real
GOV009,Jharkhand Renewable Energy Development Agency (JREDA),Renewable Energy,State Nodal Agency,All 24 Districts,Mini-grid Battery Degradation; Solar Pump Water Mismanagement; Biogas Optimization,PM-KUSUM; National Bio-Energy Programme; Off-grid Solar Village Electrification,"Tendering, inspection, and maintenance supervision of decentralized solar arrays and micro-grids.",https://jreda.com,https://jreda.com,verified,verified_real
GOV010,Department of School Education and Literacy,Education & Foundational Learning,State Government of Jharkhand,All 24 Districts,Vernacular Language Comprehension; Visually Impaired STEM Assistive Tech,Samagra Shiksha Abhiyan; NIPUN Bharat Mission,"Curriculum standards, textbook translation into tribal scripts (Ol Chiki, Mundari), and special school administration.",https://schooleducation.jharkhand.gov.in,https://schooleducation.jharkhand.gov.in,verified,verified_real
